"GEO_ID","NAME","C24030_001E","C24030_001M","C24030_002E","C24030_002M","C24030_003E","C24030_003M","C24030_004E","C24030_004M","C24030_005E","C24030_005M","C24030_006E","C24030_006M","C24030_007E","C24030_007M","C24030_008E","C24030_008M","C24030_009E","C24030_009M","C24030_010E","C24030_010M","C24030_011E","C24030_011M","C24030_012E","C24030_012M","C24030_013E","C24030_013M","C24030_014E","C24030_014M","C24030_015E","C24030_015M","C24030_016E","C24030_016M","C24030_017E","C24030_017M","C24030_018E","C24030_018M","C24030_019E","C24030_019M","C24030_020E","C24030_020M","C24030_021E","C24030_021M","C24030_022E","C24030_022M","C24030_023E","C24030_023M","C24030_024E","C24030_024M","C24030_025E","C24030_025M","C24030_026E","C24030_026M","C24030_027E","C24030_027M","C24030_028E","C24030_028M","C24030_029E","C24030_029M","C24030_030E","C24030_030M","C24030_031E","C24030_031M","C24030_032E","C24030_032M","C24030_033E","C24030_033M","C24030_034E","C24030_034M","C24030_035E","C24030_035M","C24030_036E","C24030_036M","C24030_037E","C24030_037M","C24030_038E","C24030_038M","C24030_039E","C24030_039M","C24030_040E","C24030_040M","C24030_041E","C24030_041M","C24030_042E","C24030_042M","C24030_043E","C24030_043M","C24030_044E","C24030_044M","C24030_045E","C24030_045M","C24030_046E","C24030_046M","C24030_047E","C24030_047M","C24030_048E","C24030_048M","C24030_049E","C24030_049M","C24030_050E","C24030_050M","C24030_051E","C24030_051M","C24030_052E","C24030_052M","C24030_053E","C24030_053M","C24030_054E","C24030_054M","C24030_055E","C24030_055M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Agriculture, forestry, fishing and hunting, and mining:","Margin of Error!!Total:!!Male:!!Agriculture, forestry, fishing and hunting, and mining:","Estimate!!Total:!!Male:!!Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting","Margin of Error!!Total:!!Male:!!Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting","Estimate!!Total:!!Male:!!Agriculture, forestry, fishing and hunting, and mining:!!Mining, quarrying, and oil and gas extraction","Margin of Error!!Total:!!Male:!!Agriculture, forestry, fishing and hunting, and mining:!!Mining, quarrying, and oil and gas extraction","Estimate!!Total:!!Male:!!Construction","Margin of Error!!Total:!!Male:!!Construction","Estimate!!Total:!!Male:!!Manufacturing","Margin of Error!!Total:!!Male:!!Manufacturing","Estimate!!Total:!!Male:!!Wholesale trade","Margin of Error!!Total:!!Male:!!Wholesale trade","Estimate!!Total:!!Male:!!Retail trade","Margin of Error!!Total:!!Male:!!Retail trade","Estimate!!Total:!!Male:!!Transportation and warehousing, and utilities:","Margin of Error!!Total:!!Male:!!Transportation and warehousing, and utilities:","Estimate!!Total:!!Male:!!Transportation and warehousing, and utilities:!!Transportation and warehousing","Margin of Error!!Total:!!Male:!!Transportation and warehousing, and utilities:!!Transportation and warehousing","Estimate!!Total:!!Male:!!Transportation and warehousing, and utilities:!!Utilities","Margin of Error!!Total:!!Male:!!Transportation and warehousing, and utilities:!!Utilities","Estimate!!Total:!!Male:!!Information","Margin of Error!!Total:!!Male:!!Information","Estimate!!Total:!!Male:!!Finance and insurance, and real estate, and rental and leasing:","Margin of Error!!Total:!!Male:!!Finance and insurance, and real estate, and rental and leasing:","Estimate!!Total:!!Male:!!Finance and insurance, and real estate, and rental and leasing:!!Finance and insurance","Margin of Error!!Total:!!Male:!!Finance and insurance, and real estate, and rental and leasing:!!Finance and insurance","Estimate!!Total:!!Male:!!Finance and insurance, and real estate, and rental and leasing:!!Real estate and rental and leasing","Margin of Error!!Total:!!Male:!!Finance and insurance, and real estate, and rental and leasing:!!Real estate and rental and leasing","Estimate!!Total:!!Male:!!Professional, scientific, and management, and administrative, and waste management services:","Margin of Error!!Total:!!Male:!!Professional, scientific, and management, and administrative, and waste management services:","Estimate!!Total:!!Male:!!Professional, scientific, and management, and administrative, and waste management services:!!Professional, scientific, and technical services","Margin of Error!!Total:!!Male:!!Professional, scientific, and management, and administrative, and waste management services:!!Professional, scientific, and technical services","Estimate!!Total:!!Male:!!Professional, scientific, and management, and administrative, and waste management services:!!Management of companies and enterprises","Margin of Error!!Total:!!Male:!!Professional, scientific, and management, and administrative, and waste management services:!!Management of companies and enterprises","Estimate!!Total:!!Male:!!Professional, scientific, and management, and administrative, and waste management services:!!Administrative and support and waste management services","Margin of Error!!Total:!!Male:!!Professional, scientific, and management, and administrative, and waste management services:!!Administrative and support and waste management services","Estimate!!Total:!!Male:!!Educational services, and health care and social assistance:","Margin of Error!!Total:!!Male:!!Educational services, and health care and social assistance:","Estimate!!Total:!!Male:!!Educational services, and health care and social assistance:!!Educational services","Margin of Error!!Total:!!Male:!!Educational services, and health care and social assistance:!!Educational services","Estimate!!Total:!!Male:!!Educational services, and health care and social assistance:!!Health care and social assistance","Margin of Error!!Total:!!Male:!!Educational services, and health care and social assistance:!!Health care and social assistance","Estimate!!Total:!!Male:!!Arts, entertainment, and recreation, and accommodation and food services:","Margin of Error!!Total:!!Male:!!Arts, entertainment, and recreation, and accommodation and food services:","Estimate!!Total:!!Male:!!Arts, entertainment, and recreation, and accommodation and food services:!!Arts, entertainment, and recreation","Margin of Error!!Total:!!Male:!!Arts, entertainment, and recreation, and accommodation and food services:!!Arts, entertainment, and recreation","Estimate!!Total:!!Male:!!Arts, entertainment, and recreation, and accommodation and food services:!!Accommodation and food services","Margin of Error!!Total:!!Male:!!Arts, entertainment, and recreation, and accommodation and food services:!!Accommodation and food services","Estimate!!Total:!!Male:!!Other services, except public administration","Margin of Error!!Total:!!Male:!!Other services, except public administration","Estimate!!Total:!!Male:!!Public administration","Margin of Error!!Total:!!Male:!!Public administration","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Agriculture, forestry, fishing and hunting, and mining:","Margin of Error!!Total:!!Female:!!Agriculture, forestry, fishing and hunting, and mining:","Estimate!!Total:!!Female:!!Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting","Margin of Error!!Total:!!Female:!!Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting","Estimate!!Total:!!Female:!!Agriculture, forestry, fishing and hunting, and mining:!!Mining, quarrying, and oil and gas extraction","Margin of Error!!Total:!!Female:!!Agriculture, forestry, fishing and hunting, and mining:!!Mining, quarrying, and oil and gas extraction","Estimate!!Total:!!Female:!!Construction","Margin of Error!!Total:!!Female:!!Construction","Estimate!!Total:!!Female:!!Manufacturing","Margin of Error!!Total:!!Female:!!Manufacturing","Estimate!!Total:!!Female:!!Wholesale trade","Margin of Error!!Total:!!Female:!!Wholesale trade","Estimate!!Total:!!Female:!!Retail trade","Margin of Error!!Total:!!Female:!!Retail trade","Estimate!!Total:!!Female:!!Transportation and warehousing, and utilities:","Margin of Error!!Total:!!Female:!!Transportation and warehousing, and utilities:","Estimate!!Total:!!Female:!!Transportation and warehousing, and utilities:!!Transportation and warehousing","Margin of Error!!Total:!!Female:!!Transportation and warehousing, and utilities:!!Transportation and warehousing","Estimate!!Total:!!Female:!!Transportation and warehousing, and utilities:!!Utilities","Margin of Error!!Total:!!Female:!!Transportation and warehousing, and utilities:!!Utilities","Estimate!!Total:!!Female:!!Information","Margin of Error!!Total:!!Female:!!Information","Estimate!!Total:!!Female:!!Finance and insurance, and real estate, and rental and leasing:","Margin of Error!!Total:!!Female:!!Finance and insurance, and real estate, and rental and leasing:","Estimate!!Total:!!Female:!!Finance and insurance, and real estate, and rental and leasing:!!Finance and insurance","Margin of Error!!Total:!!Female:!!Finance and insurance, and real estate, and rental and leasing:!!Finance and insurance","Estimate!!Total:!!Female:!!Finance and insurance, and real estate, and rental and leasing:!!Real estate and rental and leasing","Margin of Error!!Total:!!Female:!!Finance and insurance, and real estate, and rental and leasing:!!Real estate and rental and leasing","Estimate!!Total:!!Female:!!Professional, scientific, and management, and administrative, and waste management services:","Margin of Error!!Total:!!Female:!!Professional, scientific, and management, and administrative, and waste management services:","Estimate!!Total:!!Female:!!Professional, scientific, and management, and administrative, and waste management services:!!Professional, scientific, and technical services","Margin of Error!!Total:!!Female:!!Professional, scientific, and management, and administrative, and waste management services:!!Professional, scientific, and technical services","Estimate!!Total:!!Female:!!Professional, scientific, and management, and administrative, and waste management services:!!Management of companies and enterprises","Margin of Error!!Total:!!Female:!!Professional, scientific, and management, and administrative, and waste management services:!!Management of companies and enterprises","Estimate!!Total:!!Female:!!Professional, scientific, and management, and administrative, and waste management services:!!Administrative and support and waste management services","Margin of Error!!Total:!!Female:!!Professional, scientific, and management, and administrative, and waste management services:!!Administrative and support and waste management services","Estimate!!Total:!!Female:!!Educational services, and health care and social assistance:","Margin of Error!!Total:!!Female:!!Educational services, and health care and social assistance:","Estimate!!Total:!!Female:!!Educational services, and health care and social assistance:!!Educational services","Margin of Error!!Total:!!Female:!!Educational services, and health care and social assistance:!!Educational services","Estimate!!Total:!!Female:!!Educational services, and health care and social assistance:!!Health care and social assistance","Margin of Error!!Total:!!Female:!!Educational services, and health care and social assistance:!!Health care and social assistance","Estimate!!Total:!!Female:!!Arts, entertainment, and recreation, and accommodation and food services:","Margin of Error!!Total:!!Female:!!Arts, entertainment, and recreation, and accommodation and food services:","Estimate!!Total:!!Female:!!Arts, entertainment, and recreation, and accommodation and food services:!!Arts, entertainment, and recreation","Margin of Error!!Total:!!Female:!!Arts, entertainment, and recreation, and accommodation and food services:!!Arts, entertainment, and recreation","Estimate!!Total:!!Female:!!Arts, entertainment, and recreation, and accommodation and food services:!!Accommodation and food services","Margin of Error!!Total:!!Female:!!Arts, entertainment, and recreation, and accommodation and food services:!!Accommodation and food services","Estimate!!Total:!!Female:!!Other services, except public administration","Margin of Error!!Total:!!Female:!!Other services, except public administration","Estimate!!Total:!!Female:!!Public administration","Margin of Error!!Total:!!Female:!!Public administration",
"1500000US360050001000","Block Group 0; Census Tract 1; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US360050001001","Block Group 1; Census Tract 1; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US360050002000","Block Group 0; Census Tract 2; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US360050002001","Block Group 1; Census Tract 2; Bronx County; New York","646","247","313","134","0","13","0","13","0","13","0","13","23","38","0","13","45","61","0","13","0","13","0","13","0","13","22","36","22","36","0","13","44","49","0","13","0","13","44","49","66","66","26","43","40","47","0","13","0","13","0","13","22","34","91","48","333","143","0","13","0","13","0","13","0","13","0","13","0","13","2","4","10","18","10","18","0","13","0","13","29","44","29","44","0","13","0","13","0","13","0","13","0","13","245","101","111","86","134","82","28","44","0","13","28","44","0","13","19","28",
"1500000US360050002002","Block Group 2; Census Tract 2; Bronx County; New York","1241","491","720","306","0","13","0","13","0","13","46","48","0","13","0","13","52","65","0","13","0","13","0","13","23","39","159","129","159","129","0","13","18","30","18","30","0","13","0","13","293","218","233","215","60","59","129","147","0","13","129","147","0","13","0","13","521","243","0","13","0","13","0","13","0","13","0","13","0","13","90","116","23","37","23","37","0","13","31","48","22","35","0","13","22","35","40","45","0","13","0","13","40","45","199","132","85","82","114","91","18","29","0","13","18","29","0","13","98","94",
"1500000US360050002003","Block Group 3; Census Tract 2; Bronx County; New York","676","317","344","190","0","13","0","13","0","13","38","58","0","13","0","13","116","100","0","13","0","13","0","13","0","13","67","78","20","32","47","71","40","48","40","48","0","13","0","13","71","95","52","78","19","48","12","25","0","13","12","25","0","13","0","13","332","180","0","13","0","13","0","13","0","13","19","29","0","13","108","95","0","13","0","13","0","13","20","31","45","67","45","67","0","13","39","43","39","43","0","13","0","13","54","62","54","62","0","13","11","22","0","13","11","22","0","13","36","49",
"1500000US360050004000","Block Group 0; Census Tract 4; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US360050004001","Block Group 1; Census Tract 4; Bronx County; New York","507","355","341","251","0","13","0","13","0","13","63","91","0","13","0","13","121","171","20","30","20","30","0","13","0","13","0","13","0","13","0","13","74","92","15","25","0","13","59","86","63","91","0","13","63","91","0","13","0","13","0","13","0","13","0","13","166","149","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","21","30","21","30","0","13","0","13","0","13","0","13","0","13","145","127","27","42","118","104","0","13","0","13","0","13","0","13","0","13",
"1500000US360050004002","Block Group 2; Census Tract 4; Bronx County; New York","679","437","357","255","0","13","0","13","0","13","39","72","0","13","0","13","84","88","0","13","0","13","0","13","0","13","0","13","0","13","0","13","19","36","19","36","0","13","0","13","215","187","159","169","56","58","0","13","0","13","0","13","0","13","0","13","322","202","0","13","0","13","0","13","0","13","32","50","0","13","102","118","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","163","130","75","88","88","100","0","13","0","13","0","13","25","41","0","13",
"1500000US360050004003","Block Group 3; Census Tract 4; Bronx County; New York","1613","487","903","321","0","13","0","13","0","13","62","94","0","13","47","56","25","38","121","166","121","166","0","13","30","42","0","13","0","13","0","13","153","144","136","142","0","13","17","30","173","144","75","94","98","107","19","29","0","13","19","29","66","75","207","122","710","196","0","13","0","13","0","13","0","13","0","13","19","29","41","46","24","34","24","34","0","13","0","13","74","81","74","81","0","13","178","115","45","62","0","13","133","91","362","172","147","99","215","159","0","13","0","13","0","13","0","13","12","19",
"1500000US360050004004","Block Group 4; Census Tract 4; Bronx County; New York","299","283","190","166","0","13","0","13","0","13","0","13","0","13","0","13","0","13","53","61","53","61","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","102","160","0","13","102","160","0","13","0","13","0","13","0","13","35","59","109","134","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","109","134","33","53","76","121","0","13","0","13","0","13","0","13","0","13",
"1500000US360050016001","Block Group 1; Census Tract 16; Bronx County; New York","977","444","426","248","0","13","0","13","0","13","0","13","0","13","51","71","71","76","130","182","130","182","0","13","0","13","20","32","0","13","20","32","55","72","20","32","0","13","35","43","77","73","0","13","77","73","22","36","0","13","22","36","0","13","0","13","551","256","0","13","0","13","0","13","40","62","11","17","0","13","45","61","11","19","11","19","0","13","43","64","0","13","0","13","0","13","14","23","14","23","0","13","0","13","306","148","48","46","258","129","14","24","14","24","0","13","34","48","33","55",
"1500000US360050016002","Block Group 2; Census Tract 16; Bronx County; New York","381","280","263","195","0","13","0","13","0","13","0","13","0","13","0","13","0","13","152","217","152","217","0","13","0","13","0","13","0","13","0","13","10","20","0","13","10","20","0","13","14","23","14","23","0","13","87","129","0","13","87","129","0","13","0","13","118","111","0","13","0","13","0","13","0","13","0","13","2","5","0","13","67","97","67","97","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","40","50","0","13","40","50","9","18","9","18","0","13","0","13","0","13",
"1500000US360050016003","Block Group 3; Census Tract 16; Bronx County; New York","411","158","77","88","0","13","0","13","0","13","20","37","0","13","15","23","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","24","42","0","13","24","42","0","13","0","13","0","13","0","13","18","29","0","13","18","29","0","13","0","13","334","121","0","13","0","13","0","13","0","13","0","13","0","13","77","69","6","9","6","9","0","13","4","7","0","13","0","13","0","13","31","52","0","13","0","13","31","52","158","104","36","49","122","94","58","71","0","13","58","71","0","13","0","13",
"1500000US360050016004","Block Group 4; Census Tract 16; Bronx County; New York","572","279","237","202","0","13","0","13","0","13","0","13","0","13","0","13","18","30","11","20","11","20","0","13","13","21","72","114","72","114","0","13","34","54","0","13","0","13","34","54","0","13","0","13","0","13","0","13","0","13","0","13","20","31","69","82","335","158","0","13","0","13","0","13","0","13","0","13","0","13","4","6","0","13","0","13","0","13","26","31","0","13","0","13","0","13","12","18","0","13","0","13","12","18","196","135","51","74","145","93","67","77","0","13","67","77","0","13","30","34",
"1500000US360050019011","Block Group 1; Census Tract 19.01; Bronx County; New York","1387","270","699","159","0","13","0","13","0","13","34","45","27","23","0","13","47","49","19","32","19","32","0","13","83","91","49","45","49","45","0","13","54","39","54","39","0","13","0","13","302","114","176","107","126","76","53","59","12","19","41","56","31","33","0","13","688","217","0","13","0","13","0","13","0","13","28","32","0","13","93","58","13","20","13","20","0","13","2","3","28","26","28","26","0","13","136","91","129","89","0","13","7","15","148","65","17","20","131","66","64","43","33","36","31","25","176","212","0","13",
"1500000US360050019021","Block Group 1; Census Tract 19.02; Bronx County; New York","925","280","476","148","0","13","0","13","0","13","38","43","5","10","0","13","215","113","135","38","135","38","0","13","10","14","0","13","0","13","0","13","0","13","0","13","0","13","0","13","26","24","8","12","18","21","39","50","0","13","39","50","8","12","0","13","449","164","0","13","0","13","0","13","0","13","0","13","0","13","26","30","0","13","0","13","0","13","0","13","17","28","17","28","0","13","14","31","14","31","0","13","0","13","323","127","142","80","181","107","25","50","25","50","0","13","44","31","0","13",
"1500000US360050019031","Block Group 1; Census Tract 19.03; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US360050019032","Block Group 2; Census Tract 19.03; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
