OID_TRACT_20,GEOID_TRACT_20,NAMELSAD_TRACT_20,AREALAND_TRACT_20,AREAWATER_TRACT_20,MTFCC_TRACT_20,FUNCSTAT_TRACT_20,OID_TRACT_10,GEOID_TRACT_10,NAMELSAD_TRACT_10,AREALAND_TRACT_10,AREAWATER_TRACT_10,MTFCC_TRACT_10,FUNCSTAT_TRACT_10,AREALAND_PART,AREAWATER_PART
2.07907E+13,36001014613,Census Tract 146.13,67646002,1747974,G5020,S,2.07407E+13,36001014612,Census Tract 146.12,3072852,243,G5020,S,10116,0\
2.07907E+13,36001014613,Census Tract 146.13,67646002,1747974,G5020,S,2.07407E+13,36001014613,Census Tract 146.13,67912263,1751420,G5020,S,67635886,1747974\
2.07904E+14,36001014614,Census Tract 146.14,6879415,30446,G5020,S,2.07404E+14,36001014614,Census Tract 146.14,6879415,30446,G5020,S,6879415,30446\
2.07904E+14,36001014615,Census Tract 146.15,5872808,223306,G5020,S,2.07407E+13,36001014611,Census Tract 146.11,15802328,162691,G5020,S,6209,11227\
2.07904E+14,36001014615,Census Tract 146.15,5872808,223306,G5020,S,2.07404E+14,36001014615,Census Tract 146.15,5866664,216734,G5020,S,5866599,212079\
2.07902E+15,36001014616,Census Tract 146.16,8232981,3080,G5020,S,2.07407E+13,36001014607,Census Tract 146.07,22253799,40235,G5020,S,8232981,3080\
2.07902E+15,36001014617,Census Tract 146.17,14020818,37155,G5020,S,2.07407E+13,36001014607,Census Tract 146.07,22253799,40235,G5020,S,14020818,37155\
2.07907E+13,36001014700,Census Tract 147,108164311,451486,G5020,S,2.07407E+13,36001014700,Census Tract 147,108164311,451486,G5020,S,108164311,451486\
2.07907E+13,36001014801,Census Tract 148.01,165837030,1822037,G5020,S,2.07407E+13,36001014801,Census Tract 148.01,165837030,1822037,G5020,S,165837030,1822037\
2.07907E+13,36001014802,Census Tract 148.02,159191854,1088427,G5020,S,2.07407E+13,36001014802,Census Tract 148.02,159191854,1088427,G5020,S,159191854,1088427\
2.07907E+13,36001014803,Census Tract 148.03,149682689,1926625,G5020,S,2.07407E+13,36001014803,Census Tract 148.03,149682689,1926625,G5020,S,149682689,1926625\
2.07901E+13,36003940200,Census Tract 9402,1528841,26577,G5020,S,2.07401E+13,36003940200,Census Tract 9402,1528841,26577,G5020,S,1528841,26577\
2.07901E+13,36003950100,Census Tract 9501,328795140,1467755,G5020,S,2.07401E+13,36003950100,Census Tract 9501,328912887,1467755,G5020,S,328795140,1467755\
2.07901E+13,36003950300,Census Tract 9503,232017438,2013702,G5020,S,2.07401E+13,36003950300,Census Tract 9503,232036809,2013702,G5020,S,232017438,2013702\
2.07902E+15,36003950401,Census Tract 9504.01,180985769,385893,G5020,S,2.07401E+13,36003950400,Census Tract 9504,287344157,3025658,G5020,S,180985769,385893\
2.07902E+15,36003950402,Census Tract 9504.02,106358388,2639765,G5020,S,2.07401E+13,36003950400,Census Tract 9504,287344157,3025658,G5020,S,106358388,2639765\
2.07901E+13,36003950500,Census Tract 9505,131390323,1929125,G5020,S,2.07401E+13,36003950500,Census Tract 9505,131390323,1929125,G5020,S,131390323,1929125\
2.07901E+13,36003950600,Census Tract 9506,155813033,235822,G5020,S,2.07401E+13,36003950600,Census Tract 9506,155813033,235822,G5020,S,155813033,235822\
2.07901E+13,36003950700,Census Tract 9507,92723534,88581,G5020,S,2.07401E+13,36003950700,Census Tract 9507,92723534,88581,G5020,S,92723534,88581\
2.07901E+13,36003950800,Census Tract 9508,201673166,602203,G5020,S,2.07401E+13,36003950800,Census Tract 9508,201673166,602203,G5020,S,201673166,602203\
2.07901E+13,36003950900,Census Tract 9509,205684907,313724,G5020,S,2.07401E+13,36003950900,Census Tract 9509,205684907,313724,G5020,S,205684907,313724\
2.07901E+13,36003951000,Census Tract 9510,202622509,820570,G5020,S,2.07401E+13,36003951000,Census Tract 9510,202622509,820570,G5020,S,202622509,820570\
2.07901E+13,36003951100,Census Tract 9511,154152645,92806,G5020,S,2.07401E+13,36003951100,Census Tract 9511,154152645,92806,G5020,S,154152645,92806\
2.07902E+15,36003951201,Census Tract 9512.01,115853131,64171,G5020,S,2.07401E+13,36003951200,Census Tract 9512,256437654,250198,G5020,S,115853131,64171\
2.07902E+15,36003951202,Census Tract 9512.02,140584523,186027,G5020,S,2.07401E+13,36003951200,Census Tract 9512,256437654,250198,G5020,S,140584523,186027\
2.07902E+15,36003951301,Census Tract 9513.01,183824396,1530801,G5020,S,2.07404E+14,36003951300,Census Tract 9513,415923992,2123127,G5020,S,183824396,1530801\
2.07902E+15,36003951302,Census Tract 9513.02,232217343,592326,G5020,S,2.07401E+13,36003950100,Census Tract 9501,328912887,1467755,G5020,S,117747,0\
2.07902E+15,36003951302,Census Tract 9513.02,232217343,592326,G5020,S,2.07404E+14,36003951300,Census Tract 9513,415923992,2123127,G5020,S,232099596,592326\
2.07903E+13,36005000100,Census Tract 1,1677210,1035011,G5020,S,2.07403E+13,36005000100,Census Tract 1,1677210,1035011,G5020,S,1677210,1035011\
2.07903E+13,36005000200,Census Tract 2,452832,852406,G5020,S,2.07403E+13,36005000200,Census Tract 2,463123,852406,G5020,S,452832,852406\
2.07903E+13,36005000400,Census Tract 4,770689,690794,G5020,S,2.07403E+13,36005000400,Census Tract 4,770689,690794,G5020,S,770689,690794\
2.07903E+13,36005001600,Census Tract 16,485079,0,G5020,S,2.07403E+13,36005001600,Census Tract 16,485079,0,G5020,S,485079,0\
2.07902E+15,36005001901,Census Tract 19.01,205007,0,G5020,S,2.07404E+14,36005001900,Census Tract 19,1664447,1138170,G5020,S,205007,0\
2.07902E+15,36005001902,Census Tract 19.02,469741,0,G5020,S,2.07404E+14,36005001900,Census Tract 19,1664447,1138170,G5020,S,468622,0\
2.07902E+15,36005001902,Census Tract 19.02,469741,0,G5020,S,2.07403E+13,36005002701,Census Tract 27.01,82703,0,G5020,S,1119,0\
2.07902E+15,36005001903,Census Tract 19.03,908739,0,G5020,S,2.07404E+14,36005001900,Census Tract 19,1664447,1138170,G5020,S,908739,0\
2.07902E+15,36005001904,Census Tract 19.04,82079,1138170,G5020,S,2.07404E+14,36005001900,Census Tract 19,1664447,1138170,G5020,S,82079,1138170\
2.07902E+15,36005002001,Census Tract 20.01,199398,0,G5020,S,2.07403E+13,36005002000,Census Tract 20,404290,0,G5020,S,199398,0\
2.07902E+15,36005002002,Census Tract 20.02,204892,0,G5020,S,2.07403E+13,36005002000,Census Tract 20,404290,0,G5020,S,204892,0\
2.07903E+13,36005002300,Census Tract 23,104645,0,G5020,S,2.07403E+13,36005002300,Census Tract 23,104645,0,G5020,S,104645,0\
2.07903E+13,36005002400,Census Tract 24,691445,265400,G5020,S,2.07403E+13,36005000200,Census Tract 2,463123,852406,G5020,S,10291,0\
2.07903E+13,36005002400,Census Tract 24,691445,265400,G5020,S,2.07403E+13,36005002400,Census Tract 24,681154,265400,G5020,S,681154,265400\
2.07903E+13,36005002500,Census Tract 25,127492,0,G5020,S,2.07403E+13,36005002500,Census Tract 25,127492,0,G5020,S,127492,0\
2.07903E+13,36005002701,Census Tract 27.01,81584,0,G5020,S,2.07403E+13,36005002701,Census Tract 27.01,82703,0,G5020,S,81584,0\
2.07903E+13,36005002702,Census Tract 27.02,155461,0,G5020,S,2.07403E+13,36005002702,Census Tract 27.02,155461,0,G5020,S,155461,0\
