OID_TRACT_20,GEOID_TRACT_20,NAMELSAD_TRACT_20,AREALAND_TRACT_20,AREAWATER_TRACT_20,MTFCC_TRACT_20,FUNCSTAT_TRACT_20,OID_TRACT_10,GEOID_TRACT_10,NAMELSAD_TRACT_10,AREALAND_TRACT_10,AREAWATER_TRACT_10,MTFCC_TRACT_10,FUNCSTAT_TRACT_10,AREALAND_PART,AREAWATER_PART
2.07907E+13,36001002500,Census Tract 25,667349,115684,G5020,S,2.07407E+13,36001002500,Census Tract 25,666417,115684,G5020,S,665628,115684\
2.07907E+13,36001002600,Census Tract 26,4172991,449304,G5020,S,2.07407E+13,36001002600,Census Tract 26,4172991,449304,G5020,S,4172991,449304\
2.07907E+13,36001012700,Census Tract 127,1515135,658863,G5020,S,2.07407E+13,36001012700,Census Tract 127,1515135,658863,G5020,S,1515135,658863\
2.07907E+13,36001012800,Census Tract 128,1627522,155808,G5020,S,2.07407E+13,36001012800,Census Tract 128,1627522,155808,G5020,S,1627522,155808\
2.07907E+13,36001012900,Census Tract 129,1499516,338272,G5020,S,2.07407E+13,36001012900,Census Tract 129,1499516,338272,G5020,S,1499516,338272\
2.07907E+13,36001013000,Census Tract 130,5129074,47672,G5020,S,2.07407E+13,36001013000,Census Tract 130,5129074,47672,G5020,S,5129074,47672\
2.07907E+13,36001013100,Census Tract 131,1941182,482922,G5020,S,2.07407E+13,36001013100,Census Tract 131,1935064,482922,G5020,S,1910831,482922\
2.07907E+13,36001013100,Census Tract 131,1941182,482922,G5020,S,2.07407E+13,36001013200,Census Tract 132,853278,130213,G5020,S,1090,0\
2.07907E+13,36001013100,Census Tract 131,1941182,482922,G5020,S,2.07407E+13,36001013506,Census Tract 135.06,8148525,28448,G5020,S,29261,0\
2.07907E+13,36001013200,Census Tract 132,860044,130213,G5020,S,2.07407E+13,36001013100,Census Tract 131,1935064,482922,G5020,S,7856,0\
2.07907E+13,36001013200,Census Tract 132,860044,130213,G5020,S,2.07407E+13,36001013200,Census Tract 132,853278,130213,G5020,S,852188,130213\
2.07907E+13,36001013300,Census Tract 133,1386284,0,G5020,S,2.07407E+13,36001013300,Census Tract 133,1395079,0,G5020,S,1386284,0\
2.07907E+13,36001013400,Census Tract 134,1235477,205707,G5020,S,2.07407E+13,36001013400,Census Tract 134,1236445,205707,G5020,S,1235477,205707\
2.07907E+13,36001013503,Census Tract 135.03,11558461,1212130,G5020,S,2.07407E+13,36001013503,Census Tract 135.03,11558461,1212130,G5020,S,11558461,1212130\
2.07907E+13,36001013505,Census Tract 135.05,2970205,12128,G5020,S,2.07407E+13,36001013505,Census Tract 135.05,2966740,12128,G5020,S,2966015,12128\
2.07907E+13,36001013505,Census Tract 135.05,2970205,12128,G5020,S,2.07404E+14,36001013508,Census Tract 135.08,18011098,2460841,G5020,S,4190,0\
2.07904E+14,36001013507,Census Tract 135.07,5586169,2491,G5020,S,2.07404E+14,36001013507,Census Tract 135.07,5575237,2491,G5020,S,5575237,2491\
2.07904E+14,36001013507,Census Tract 135.07,5586169,2491,G5020,S,2.07404E+14,36001013508,Census Tract 135.08,18011098,2460841,G5020,S,10932,0\
2.07902E+15,36001013509,Census Tract 135.09,5488788,28448,G5020,S,2.07407E+13,36001013100,Census Tract 131,1935064,482922,G5020,S,16377,0\
2.07902E+15,36001013509,Census Tract 135.09,5488788,28448,G5020,S,2.07407E+13,36001013506,Census Tract 135.06,8148525,28448,G5020,S,5472411,28448\
2.07902E+15,36001013510,Census Tract 135.10,2652492,0,G5020,S,2.07407E+13,36001013505,Census Tract 135.05,2966740,12128,G5020,S,725,0\
2.07902E+15,36001013510,Census Tract 135.10,2652492,0,G5020,S,2.07407E+13,36001013506,Census Tract 135.06,8148525,28448,G5020,S,2646853,0\
2.07902E+15,36001013510,Census Tract 135.10,2652492,0,G5020,S,2.07404E+14,36001013508,Census Tract 135.08,18011098,2460841,G5020,S,4914,0\
2.07902E+15,36001013511,Census Tract 135.11,8462725,1336145,G5020,S,2.07404E+14,36001013508,Census Tract 135.08,18011098,2460841,G5020,S,8462725,1336145\
2.07902E+15,36001013512,Census Tract 135.12,9528478,1124696,G5020,S,2.07404E+14,36001013508,Census Tract 135.08,18011098,2460841,G5020,S,9528337,1124696\
2.07902E+15,36001013512,Census Tract 135.12,9528478,1124696,G5020,S,2.07407E+13,36001013802,Census Tract 138.02,5455752,1645,G5020,S,141,0\
2.07907E+13,36001013602,Census Tract 136.02,7929985,649000,G5020,S,2.07407E+13,36001013601,Census Tract 136.01,13709835,220469,G5020,S,43359,0\
2.07907E+13,36001013602,Census Tract 136.02,7929985,649000,G5020,S,2.07407E+13,36001013602,Census Tract 136.02,8055655,662127,G5020,S,7886626,649000\
2.07902E+15,36001013603,Census Tract 136.03,6631007,170501,G5020,S,2.07407E+13,36001013300,Census Tract 133,1395079,0,G5020,S,8795,0\
2.07902E+15,36001013603,Census Tract 136.03,6631007,170501,G5020,S,2.07407E+13,36001013400,Census Tract 134,1236445,205707,G5020,S,968,0\
2.07902E+15,36001013603,Census Tract 136.03,6631007,170501,G5020,S,2.07407E+13,36001013601,Census Tract 136.01,13709835,220469,G5020,S,6452215,157374\
2.07902E+15,36001013603,Census Tract 136.03,6631007,170501,G5020,S,2.07407E+13,36001013602,Census Tract 136.02,8055655,662127,G5020,S,169029,13127\
2.07902E+15,36001013604,Census Tract 136.04,7214261,63095,G5020,S,2.07407E+13,36001013601,Census Tract 136.01,13709835,220469,G5020,S,7214261,63095\
2.07907E+13,36001013703,Census Tract 137.03,16133183,120545,G5020,S,2.07407E+13,36001013703,Census Tract 137.03,16133183,120545,G5020,S,16133183,120545\
2.07907E+13,36001013706,Census Tract 137.06,2742331,79375,G5020,S,2.07407E+13,36001013706,Census Tract 137.06,2742331,79375,G5020,S,2742331,79375\
2.07907E+13,36001013707,Census Tract 137.07,8138017,41196,G5020,S,2.07407E+13,36001013707,Census Tract 137.07,8138017,41196,G5020,S,8138017,41196\
2.07902E+15,36001013708,Census Tract 137.08,4478331,7200,G5020,S,2.07407E+13,36001013705,Census Tract 137.05,8565777,7200,G5020,S,4478331,7200\
2.07902E+15,36001013709,Census Tract 137.09,4087446,0,G5020,S,2.07407E+13,36001013705,Census Tract 137.05,8565777,7200,G5020,S,4087446,0\
2.07907E+13,36001013802,Census Tract 138.02,5455611,1645,G5020,S,2.07407E+13,36001013802,Census Tract 138.02,5455752,1645,G5020,S,5455611,1645\
2.07902E+15,36001013803,Census Tract 138.03,6027244,20941,G5020,S,2.07407E+13,36001013801,Census Tract 138.01,20943060,21908,G5020,S,6027244,20941\
2.07902E+15,36001013804,Census Tract 138.04,14915816,967,G5020,S,2.07407E+13,36001013801,Census Tract 138.01,20943060,21908,G5020,S,14915816,967\
2.07907E+13,36001013901,Census Tract 139.01,3874080,8227,G5020,S,2.07407E+13,36001013901,Census Tract 139.01,3874080,8227,G5020,S,3874080,8227\
2.07907E+13,36001013902,Census Tract 139.02,4521603,0,G5020,S,2.07407E+13,36001013902,Census Tract 139.02,4521603,0,G5020,S,4521603,0\
2.07907E+13,36001014001,Census Tract 140.01,4137079,17276,G5020,S,2.07407E+13,36001014001,Census Tract 140.01,4137079,17276,G5020,S,4137079,17276\
