geoid,year,total_population,pct_male_population,pct_female_population,pct_white_population,pct_black_population,pct_asian_population,pct_hispanic_population,pct_foreign_born,pct_age_under_18,pct_age_18_34,pct_age_35_64,pct_age_65_plus,median_income,pct_income_under_25k,pct_income_25k_75k,pct_income_75k_plus,pct_below_poverty,pct_above_poverty,poverty_rate,median_gross_rent,pct_owner_occupied,pct_renter_occupied,pct_no_vehicle,pct_one_vehicle,pct_two_plus_vehicles,pct_less_than_hs,pct_hs_diploma,pct_some_college,pct_associates_degree,pct_bachelors_degree,pct_graduate_degree,pct_in_labor_force,pct_employed,pct_unemployed,pct_not_in_labor_force,unemployment_rate,pct_commute_short,pct_commute_medium,pct_commute_long,pct_drive_alone,pct_carpool,pct_public_transit,pct_walk,pct_bike,pct_work_from_home,total_crashes,persons_injured,persons_killed,pedestrians_injured,pedestrians_killed,cyclists_injured,cyclists_killed,motorists_injured,motorists_killed,crash_rate_per_1000,injury_rate_per_1000,fatality_rate_per_1000,pedestrian_rate_per_1000,cyclist_rate_per_1000,motorist_rate_per_1000,injury_fatality_ratio
36005000200,2022,59590.41,12.91482975,11.18971996,1.258591777,2.47187425,0.501758588,5.217282445,3.064251446,1.755315998,2.064090514,3.366313472,1.362635364,115064,0.203052807,0.615870909,1.57240066,1.15454819,7.017907747,14.12731006,1972,1.446272983,0.956143782,0.505114833,0.981701586,0.904507957,0.891082978,1.414657157,0.83570494,0.511827323,0.820601838,1.12602011,4.061056133,3.879818917,0.181237216,2.805820601,4.462809917,0.31884325,1.372704098,4.621549004,3.473713304,0.164455992,2.829314314,0.745086332,0,0.030206203,17,10,0,4,0,1,0,4,0,0.285280803,0.167812237,0,0.067124895,0.016781224,0.067124895,
36005000200,2023,63478.58,12.67829243,11.70788635,1.231911615,2.632384026,0.489929044,5.037919878,3.084505041,1.800607386,2.260605073,3.379092601,1.1263642,121171,0.211094829,0.434792335,1.63204659,1.148418884,7.00708806,14.08151439,1939,1.367595179,0.921192629,0.466299026,0.912118702,0.899516026,0.741982571,1.395746408,0.775064597,0.469449695,0.904242029,1.093282175,4.258129278,4.037582441,0.220546836,2.608754008,5.179430263,0.270957542,1.427253099,4.770113005,3.78080291,0.151232116,2.867108874,0.661640509,0,0.061438047,20,10,1,1,0,1,0,8,1,0.315066909,0.157533455,0.015753345,0.015753345,0.015753345,0.126026764,10
36005000400,2018,70556.86,12.12355538,11.80608094,3.717569064,2.407986977,0.320309039,5.489189853,1.48957876,1.87650074,1.934609902,3.446865408,1.006280608,82073,0.466290592,0.831953123,1.483909573,0.778095851,7.192780404,9.76173542,1481,2.128694503,0.661338954,0.612272145,1.309582087,0.860299055,0.683136976,0.936833073,1.34217991,0.822032046,0.868802835,0.788016927,4.325589319,3.979768941,0.345820378,2.320114586,7.994757536,0.246609614,1.133837305,3.795520379,3.50072268,0.609437552,3.211594167,0.062361052,0.015590263,0.079368611,48,10,0,3,0,1,0,6,0,0.680302383,0.141729663,0,0.042518899,0.014172966,0.085037798,
36005000400,2019,70443.69,12.1998152,11.73987337,3.458081199,2.380624865,0.295271301,5.197058814,1.267679192,1.778725674,1.87241753,3.353032756,1.084554202,78409,0.479815864,0.905687933,1.513265418,0.655842986,7.156070331,8.39542068,1314,2.295194928,0.610728938,0.591962176,1.374147209,0.932659831,0.623192794,1.120043541,1.291811942,0.76089143,0.88439433,0.688493178,4.414873781,4.13947651,0.275397271,2.208856464,6.237942122,0.249844947,1.183924351,4.003197447,3.676695528,0.479815864,3.509185848,0,0.01987403,0.06388081,45,18,0,0,0,2,0,16,0,0.638808103,0.255523241,0,0,0.028391471,0.22713177,
36005000400,2020,73513.69,12.1936472,11.76651587,2.972235512,1.833672068,0.235330317,5.642486454,1.43646714,1.671797457,2.010509879,3.094661688,1.089592972,93155,0.365918239,0.737277642,1.767017817,0.330550677,7.382298454,4.285714286,1580,2.111103388,0.765802941,0.598527975,1.262349911,1.009335812,0.881468472,1.05422541,1.150806061,0.625733792,0.873306727,0.695108625,4.453592249,4.248188331,0.205403919,2.274406304,4.612095296,0.157793739,1.096394427,4.555614063,4.584180171,0.274778752,3.147713031,0,0.019044072,0.082977742,39,13,0,2,0,1,0,10,0,0.530513432,0.176837811,0,0.027205817,0.013602909,0.136029085,
36005000400,2021,76676.72,12.23057011,11.57848171,2.359255847,1.919748263,0.230839295,5.720119483,1.424161075,1.742380217,2.021474054,3.079161446,1.216796963,98090,0.369082037,0.689909532,1.808893234,0.313002434,7.512058419,4,1534,1.966581252,0.908111354,0.73164319,1.137242177,0.998999436,1.083770928,1.168542421,1.062904099,0.654696758,1.07072916,0.611658923,4.299870939,4.079465058,0.220405881,2.494890235,5.125872005,0.172151339,1.541536988,4.106852771,4.24639969,0.159109571,2.809196846,0.33908597,0,0.159109571,25,3,0,0,0,0,0,3,0,0.326044202,0.039125304,0,0,0,0.039125304,
36005000400,2022,79480.7,12.60180144,11.11213162,0.993951991,2.386742945,0.241568079,5.299399728,1.334915269,2.062135839,2.045779667,3.044764326,1.04176234,100553,0.349770447,0.859328114,1.69600922,0.475587155,7.396764246,6.041233818,1854,1.776494168,1.13521899,0.754900246,1.178902551,0.971304983,1.122285033,1.010308163,1.021631667,0.559884349,1.251876242,0.68444289,4.34319275,3.984615133,0.358577617,2.199276051,8.25608343,0.347254113,2.28986408,3.378178602,3.651200858,0.608952865,2.413164454,0.440358477,0.186208727,0.128333042,22,14,0,1,0,0,0,12,0,0.276796757,0.176143391,0,0.012581671,0,0.150980049,
36005000400,2023,80504.88,12.16075348,11.63656166,0.660829505,3.437058722,0.023601054,4.326445801,1.275699063,2.114157552,2.275638446,2.904171772,1.074469026,98242,0.331656913,0.921683257,1.536552815,0.393764949,7.656678701,4.891220491,1886,1.713374394,1.083338054,0.568909611,1.048383651,1.172599723,1.007392347,1.101796562,0.871996828,0.484442682,1.388735689,0.714242416,4.150058978,3.848213922,0.301845056,2.363831857,7.273271476,0.844669292,2.312903267,3.078074273,4.258126961,0.558972326,1.64710512,0.452146503,0.182597626,0.17141818,23,11,0,1,0,3,0,7,0,0.285696966,0.13663768,0,0.012421607,0.037264822,0.086951251,
36005001600,2018,69585.86,9.51773823,13.81602527,3.457599001,3.497837061,0.018681956,5.17777606,2.618348038,2.606851449,1.942923462,2.879895427,1.202830575,35802,0.929786597,1.405457948,0.513035263,1.816460988,6.337494428,22.27705323,1065,0.411017411,2.445654907,1.434199419,1.033255894,0.380824495,1.363782814,1.231572046,0.968587584,0.400943525,0.658179693,0.278792272,3.559631224,3.323951159,0.235680065,3.048033034,6.620912394,0.68117287,1.31348524,2.902888604,2.256205499,0.333401067,3.184555023,0.333401067,0,0.218435182,79,21,0,10,0,0,0,11,0,1.135288117,0.301785449,0,0.143707357,0,0.158078092,
36005001600,2019,67779.83,9.622331599,13.56598268,2.779587969,3.745952151,0.112127752,5.092960546,2.571561481,2.729425553,2.062560499,2.810570637,1.127178985,34093,1.043083171,1.39422008,0.470641487,2.24550578,6.020965234,27.16401928,1030,0.366052851,2.550596542,1.550608787,1.013575868,0.343760083,1.30274744,1.180292131,0.954561261,0.519328538,0.683094071,0.275893286,3.318096254,3.157281451,0.160814803,3.260557012,4.846598488,0.395397864,1.25996185,2.888764991,2.242555049,0.17999455,3.160232181,0.185896011,0,0.166716264,71,35,0,4,0,1,0,30,0,1.047509266,0.516377807,0,0.059014607,0.014753652,0.442609549,
36005001600,2020,70430.64,9.55833995,13.53814192,1.894062016,3.340875505,0.107907581,4.73515504,2.038885349,2.356928746,2.007648944,2.78855907,1.435454796,34766,1.03790055,1.453912672,0.565094964,1.473790384,6.615018691,18.22011585,954,0.372352147,2.692791092,1.827329696,0.874619342,0.354959148,1.37156215,1.30908934,0.873199505,0.763872087,0.719857153,0.194517613,3.613484131,3.296860571,0.31662356,3.221609231,8.762278978,0.249891241,1.013763328,3.294020898,2.34273038,0.238532548,3.228708414,0.105067908,0.029816568,0.166120881,46,14,0,5,0,0,0,9,0,0.653124833,0.198777123,0,0.07099183,0,0.127785293,
36005001600,2021,72661.66,9.410740134,13.84361436,1.370736644,3.19563302,0.089455705,4.629676779,2.126293289,2.124917047,1.955639329,2.919008456,1.391380268,40033,0.963369128,1.355597987,0.690873289,1.308805772,6.709177853,16.32337796,1065,0.49413955,2.523449093,1.670757315,0.911071946,0.428011141,1.245498658,1.413400134,0.810606309,0.767942819,0.72665557,0.28212953,3.871367651,3.458495168,0.412872483,3.0759,10.66477071,0.434892349,1.117508188,3.188751812,2.422185235,0.200931275,3.176365638,0.302773154,0.016514899,0.199555034,40,13,0,3,0,0,0,9,0,0.550496644,0.178911409,0,0.041287248,0,0.123861745,
36005001600,2022,73840.7,10.55921734,12.78292324,0.746200943,3.103979242,0.200431469,4.749413264,2.482370833,2.034108561,1.910870292,3.047100041,1.522195754,41362,0.906004412,1.428751353,0.651402275,1.20936015,6.863423559,14.98070793,1111,0.618507138,2.374977485,1.615640155,0.861313612,0.509204274,1.546572554,1.309575884,0.750263743,0.73130401,0.923609879,0.166574802,3.900288053,3.43577458,0.464513473,3.216383377,11.90972222,0.563374941,1.050910947,3.015951907,2.337464298,0.284396004,2.865628305,0.346692271,0.017605467,0.24105947,36,23,0,1,0,2,0,18,0,0.487536007,0.311481338,0,0.013542667,0.027085334,0.243768003,
